"filename", "language", "Python", "Batch", "PowerShell", "Properties", "JSON", "XML", "HTML", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"c:\Dev\CirclePlan\static\admin\css\vendor\select2\select2.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 425, 0, 0, 57, 482
"c:\Dev\CirclePlan\static\admin\css\vendor\select2\select2.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Dev\CirclePlan\static\admin\css\widgets.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 465, 0, 8, 102, 575
"c:\Dev\CirclePlan\static\admin\img\calendar-icons.svg", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Dev\CirclePlan\static\admin\img\gis\move_vertex_off.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Dev\CirclePlan\static\admin\img\gis\move_vertex_on.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Dev\CirclePlan\static\admin\img\icon-addlink.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Dev\CirclePlan\static\admin\img\icon-alert.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Dev\CirclePlan\static\admin\img\icon-calendar.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Dev\CirclePlan\static\admin\img\icon-changelink.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Dev\CirclePlan\static\admin\img\icon-clock.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Dev\CirclePlan\static\admin\img\icon-deletelink.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Dev\CirclePlan\static\admin\img\icon-no.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Dev\CirclePlan\static\admin\img\icon-unknown-alt.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Dev\CirclePlan\static\admin\img\icon-unknown.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Dev\CirclePlan\static\admin\img\icon-viewlink.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Dev\CirclePlan\static\admin\img\icon-yes.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Dev\CirclePlan\static\admin\img\inline-delete.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
